CIN,Name,roc,status
U99999DL1901PLC007126,JANAK STEEL TUBES LIMITED,Delhi,Active
U99999DL1981PTC012146,ADAMS PAPER PRODUCTS PRIVATE LIMITED,Delhi,Active
U26931DL1999PTC100527,FACILITY ENGINEERS (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U67120DL1993PTC052224,LORD KANHAIYA INVESTMENT AND TRADING COMPANY PRIVATE LIMITED,Delhi,Strike Off
U67120DL1994PLC063021,NAVRANG CAPITAL MANAGEMENT LIMITED,Delhi,Active
U67120DL1995PLC067555,DELHI LAKSHMI INVESTMENT & FINLEASE LIMITED,Delhi,Active
U63040DL1901PTC003695,WINGS AND WHEELS PRIVATE LIMITED,Delhi,Strike Off
U72200DL2001PTC113587,NUCLEUS SOFTECH PRIVATE LIMITED,Delhi,Strike Off
U74899DL1988PTC034103,NITICO BUILDERS PRIVATE LIMITED,Delhi,Active
U74899DL1993PLC053178,SAWHNEY BROTHERS ROAD LINES LIMITED,Delhi,Active
U74899DL2000PTC108849,SHUBHAM FINMAC PRIVATE LIMITED,Delhi,Strike Off
U74994DL1989PTC037760,MANARC (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U74999DL1909PTC005621,RAJART PRINTCO PRIVATE LIMITED,Delhi,Strike Off
U72900DL2001PTC109323,SILLCOM SYSTEMS PRIVATE LIMITED,Delhi,Strike Off
U74900DL1999PTC102197,SEBLON AWNINGS INDIA PRIVATE LIMITED,Delhi,Strike Off
U29199DL1999PTC102223,GHSP ENGINEERING PRIVATE LIMITED,Delhi,Strike Off
U14102DL2002PLC116272,INDIAN GOLD GRANITES LIMITED,Delhi,Strike Off
U17299DL2002PTC113986,PARAPHRASE CLOTHING PRIVATE LIMITED,Delhi,Strike Off
U51397DL2001PTC113233,VIGOTECH MARKETING PRIVATE LIMITED,Delhi,Strike Off
U51398DL1981PTC011502,ARJUN EXPORTS PVT LTD,Delhi,Active
U45201DL2001PTC113455,R.G. PROPERTIES PRIVATE LIMITED,Delhi,Active
U36990DL1982PTC013789,NICRO MACHINERY MANUFACTURERS PRIVATE LIMITED,Delhi,Not available for efiling
U01119DL1996PLC076138,CAPLAN PLANTATIONS (INDIA) LIMITED,Delhi,Strike Off
U01403DL2011PTC220263,N K LOTUS VALLEY PRIVATE LIMITED,Delhi,Active
U60231DL1957PTC002824,JAILAKSHMI MOTOR TRANSPORT COMPANY PRIVATE LIMITED,Delhi,Strike Off
U51505DL2001PTC111855,BHAROSA MULTI NETWORK PRIVATE LIMITED,Delhi,Active
U51909DL2001PTC113441,EASY LIFE MARKETING PRIVATE LIMITED,Delhi,Strike Off
U51909DL2005PTC142351,AKZ TRADING PRIVATE LIMITED,Delhi,Strike Off
U99999DL1974PTC007474,VIMLESH PLASTIC PROCESSORS PVT LTD.,Delhi,Strike Off
U17111DL1901PLC000690,RAMA TEXTILES LIMITED,Delhi,Strike Off
U72900DL2019FTC359353,GITHUB INDIA PRIVATE LIMITED,Delhi,Active
U34300DL2006PTC144899,GULIA CAR ACCESSORIES PRIVATE LIMITED,Delhi,Strike Off
U31104DL2006PTC146345,NUBEL POWER ELECTRONICS PRIVATE LIMITED,Delhi,Active
U92413DL2013PTC248389,ACRON EVENT AND PROMOTION PRIVATE LIMITED,Delhi,Active
U80101DL2017PTC323981,KOALA LEARNING PRIVATE LIMITED,Delhi,Active
U74999DL2017PTC325694,WINE PROJECT PRIVATE LIMITED,Delhi,Active
U85110DL2006PTC147445,GIROTI MEDICARE PRIVATE LIMITED,Delhi,Strike Off
U34300DL1963PTC004027,RACHANN AUTO PVT LTD,Delhi,Strike Off
U24219DL2001PTC110981,VEE BEE PESTICIDES PRIVATE LIMITED,Delhi,Strike Off
U24239DL1990PTC038803,AGIP PHARMACEUTICALS (INDIA) PRIVATE LIMITED,Delhi,Strike Off
U01111DL2006PTC146061,R.K. HORTICULTURES PRIVATE LIMITED,Delhi,Active
U01112DL1998PLC096973,MOONBEAM AGRO-TECH (INDIA) LIMITED,Delhi,Strike Off
U01401DL1977PTC008487,RAINBIRDS IRRIGATION PRIVATE LIMITED,Delhi,Strike Off
U70101DL2005PTC141901,FINE EDGE DEVELOPERS PRIVATE LIMITED,Delhi,Strike Off
U65992DL1986PTC023211,ROMY CHIT FUND COMPANY PRIVATE LIMITED,Delhi,Strike Off
U67120DL1996PTC080411,PAHWA (HOLDINGS) PRIVATE LIMITED,Delhi,Active
U52590DL2020PTC369054,YOERA FESTIVITIES PRIVATE LIMITED,Delhi,Active
U55101DL1971PTC005914,SEWAI HOTELS PRIVATE LIMITED,Delhi,Strike Off
U72900DL1999PLC100747,AWARD SOFTWARE ENGINEERS LIMITED,Delhi,Strike Off
U72900DL2003PTC122433,HANNAN COMPUTERS AND SOLUTIONS PRIVATE LIMITED,Delhi,Strike Off
U51109DL2005PTC143719,INSIDE ACCESS MARKETING PRIVATE LIMITED,Delhi,Strike Off
U45201DL2006PTC145516,HARIKISHAN BUILDERS AND DEVELOPERS PRIVATE LIMITED,Delhi,Strike Off
AAN-1200,VIVARTA APPARELS LLP,Delhi,Active
U25199DL1983PTC015645,SHREE YAMUNA RUBBER AND CHEMICAL INDUSTRIES PRIVATE LIMITED,Delhi,Strike Off
U74999DL2018PTC328842,ACKERLAND CORPORATE CONSULTING PRIVATE LIMITED,Delhi,Active
U74900DL1948PLC001356,ASIA UDYOG LIMITED,Delhi,Under Liquidation
U74900DL1949PLC001571,THE BASIC INDUSTRIES LIMITED,Delhi,Strike Off
U74900DL1967PTC004710,DEVKINANDAN BODH RAJ KHANNA AND COMPANY PRIVATE LIMITED,Delhi,Strike Off
U74140DL2012FTC233786,ARTHUR D LITTLE INDIA PRIVATE LIMITED,Delhi,Active
U51507DL2001PTC112669,NH MEDICOMP RESEARCH AND DEVELOPMENT PRIVATE LIMITED,Delhi,Strike Off
U51909DL1994PLC063736,SULABH INDIA COMMERCIAL LIMITED.,Delhi,Strike Off
U51909DL2003PTC121681,PVL MARKETING PRIVATE LIMITED,Delhi,Strike Off
U99999DL1962PTC003732,KOHLI AND ASHLAY PVT LTD,Delhi,Strike Off
U85110DL2006PTC145256,SANJEEV MEDICAL CENTER PRIVATE LIMITED,Delhi,Strike Off
U16009DL2006PTC145071,BHAWNA TOBACCO MANUFACTURER PRIVATE LIMITED,Delhi,Strike Off
U93000DL1909PTC005211,ATLANTIC ENGG. SERVICES PRIVATE LIMITED,Delhi,Dissolved
U93000DL1952PTC002170,A.R. PALIT AND COMPANY PRIVATE LIMITED,Delhi,Strike Off
U93000DL1997PTC086428,MIRDUL MANAGEMENT SERVICES PRIVATE LIMITED,Delhi,Strike Off
U74899DL1975PTC007795,SARNA PRIVATE LIMITED,Delhi,Active
U74899DL1985PTC020053,ANAND FARM PRIVATE LTD.,Delhi,Active
U74899DL2005PTC143916,N K FURNITURES PRIVATE LIMITED,Delhi,Strike Off
